leg_group_id,from_area_id,to_area_id,fare_product_id
STP_MIQ_STP_MIQ,STP,MIQ,STP_MIQ_adult_OW
STP_MIQ_STP_MIQ,STP,MIQ,STP_MIQ_adult_RT
STP_MIQ_MIQ_STP,MIQ,STP,STP_MIQ_adult_OW
STP_MIQ_MIQ_STP,MIQ,STP,STP_MIQ_adult_RT
STP_MIQ_STP_MIQ,STP,MIQ,STP_MIQ_reduit_1_OW
STP_MIQ_STP_MIQ,STP,MIQ,STP_MIQ_reduit_1_RT
STP_MIQ_MIQ_STP,MIQ,STP,STP_MIQ_reduit_1_OW
STP_MIQ_MIQ_STP,MIQ,STP,STP_MIQ_reduit_1_RT
STP_LAN_STP_LAN,STP,LAN,STP_LAN_adult_OW
STP_LAN_STP_LAN,STP,LAN,STP_LAN_adult_RT
STP_LAN_LAN_STP,LAN,STP,STP_LAN_adult_OW
STP_LAN_LAN_STP,LAN,STP,STP_LAN_adult_RT
STP_LAN_STP_LAN,STP,LAN,STP_LAN_reduit_1_OW
STP_LAN_STP_LAN,STP,LAN,STP_LAN_reduit_1_RT
STP_LAN_LAN_STP,LAN,STP,STP_LAN_reduit_1_OW
STP_LAN_LAN_STP,LAN,STP,STP_LAN_reduit_1_RT
STP_FOR_STP_FOR,STP,FOR,STP_FOR_adult_OW
STP_FOR_STP_FOR,STP,FOR,STP_FOR_adult_RT
STP_FOR_FOR_STP,FOR,STP,STP_FOR_adult_OW
STP_FOR_FOR_STP,FOR,STP,STP_FOR_adult_RT
STP_FOR_STP_FOR,STP,FOR,STP_FOR_reduit_2_OW
STP_FOR_STP_FOR,STP,FOR,STP_FOR_reduit_2_RT
STP_FOR_FOR_STP,FOR,STP,STP_FOR_reduit_2_OW
STP_FOR_FOR_STP,FOR,STP,STP_FOR_reduit_2_RT
STP_FOR_STP_FOR,STP,FOR,STP_FOR_reduit_3_OW
STP_FOR_STP_FOR,STP,FOR,STP_FOR_reduit_3_RT
STP_FOR_FOR_STP,FOR,STP,STP_FOR_reduit_3_OW
STP_FOR_FOR_STP,FOR,STP,STP_FOR_reduit_3_RT
STP_FOR_STP_FOR,STP,FOR,STP_FOR_reduit_4_OW
STP_FOR_STP_FOR,STP,FOR,STP_FOR_reduit_4_RT
STP_FOR_FOR_STP,FOR,STP,STP_FOR_reduit_4_OW
STP_FOR_FOR_STP,FOR,STP,STP_FOR_reduit_4_RT
MIQ_FOR_MIQ_FOR,MIQ,FOR,MIQ_FOR_adult_OW
MIQ_FOR_MIQ_FOR,MIQ,FOR,MIQ_FOR_adult_RT
MIQ_FOR_FOR_MIQ,FOR,MIQ,MIQ_FOR_adult_OW
MIQ_FOR_FOR_MIQ,FOR,MIQ,MIQ_FOR_adult_RT
MIQ_FOR_MIQ_FOR,MIQ,FOR,MIQ_FOR_reduit_2_OW
MIQ_FOR_MIQ_FOR,MIQ,FOR,MIQ_FOR_reduit_2_RT
MIQ_FOR_FOR_MIQ,FOR,MIQ,MIQ_FOR_reduit_2_OW
MIQ_FOR_FOR_MIQ,FOR,MIQ,MIQ_FOR_reduit_2_RT
MIQ_FOR_MIQ_FOR,MIQ,FOR,MIQ_FOR_reduit_3_OW
MIQ_FOR_MIQ_FOR,MIQ,FOR,MIQ_FOR_reduit_3_RT
MIQ_FOR_FOR_MIQ,FOR,MIQ,MIQ_FOR_reduit_3_OW
MIQ_FOR_FOR_MIQ,FOR,MIQ,MIQ_FOR_reduit_3_RT
MIQ_FOR_MIQ_FOR,MIQ,FOR,MIQ_FOR_reduit_4_OW
MIQ_FOR_MIQ_FOR,MIQ,FOR,MIQ_FOR_reduit_4_RT
MIQ_FOR_FOR_MIQ,FOR,MIQ,MIQ_FOR_reduit_4_OW
MIQ_FOR_FOR_MIQ,FOR,MIQ,MIQ_FOR_reduit_4_RT
